word,frequency
i,586728
to,325934
the,312974
a,222411
and,202315
my,174608
is,174507
in,168628
it,161213
of,147157
for,93764
that,92346
was,92154
have,81997
so,78965
you,77963
but,77395
s,70536
this,70187
nt,69352
me,65097
english,61987
do,61583
we,55749
with,54336
are,50504
on,49317
not,47689
m,46921
at,46240
very,44200
time,43153
can,42357
like,42337
be,41919
about,40904
there,38151
will,36939
he,36749
because,36527
as,35773
today,35597
from,34293
when,32412
they,32395
want,31830
one,30177
people,29252
good,29235
think,28936
by,28851
am,28631
if,28630
had,28481
go,28151
what,27754
day,27660
some,27550
she,27194
now,26315
japanese,26189
or,25761
know,24982
all,23739
many,23358
more,22418
first,21976
japan,21241
went,21062
her,21008
them,20942
could,19990
an,19656
after,19192
which,19140
up,18813
who,18581
how,18406
just,18152
get,17657
has,17531
did,17246
friends,17145
really,17118
new,16348
his,16305
school,16253
were,16246
been,16100
study,15944
work,15837
make,15774
would,15753
your,15622
also,15548
other,15517
much,15286
our,15247
their,14997
friend,14519
last,14447
no,14009
year,13879
too,13866
see,13815
lot,13639
write,13378
got,13091
going,12959
only,12956
than,12886
feel,12811
well,12783
should,12652
then,12565
said,12505
out,12369
ca,12293
way,11810
him,11695
years,11581
life,11491
long,11413
here,11350
take,11348
use,11300
home,11183
yesterday,11144
days,11063
please,11049
ll,11006
love,10853
why,10826
hope,10746
happy,10360
however,10350
ve,10334
two,10256
help,10055
little,10045
hard,9990
say,9854
next,9831
before,9761
back,9760
even,9674
diary,9645
always,9634
most,9579
job,9516
these,9454
something,9432
read,9299
made,9267
learn,9230
every,9229
us,9212
things,9113
need,9108
since,9018
world,8597
come,8305
old,8168
still,8134
any,8117
thought,8043
again,7992
speak,7877
live,7842
week,7820
thank,7721
night,7619
try,7583
morning,7579
nice,7569
best,7540
d,7532
movie,7521
lang,7471
language,7435
university,7306
class,7296
house,7278
such,7250
reading,7124
understand,7068
book,7043
hello,7032
tomorrow,7017
writing,7010
difficult,6963
name,6948
ago,6841
came,6745
find,6745
never,6725
myself,6708
found,6684
though,6630
took,6625
family,6589
talk,6578
high,6534
better,6515
over,6495
big,6449
same,6386
bad,6365
thing,6358
sometimes,6357
kind,6294
eat,6280
must,6111
summer,6096
around,6063
studying,6063
while,6056
tell,5989
started,5979
used,5962
maybe,5960
give,5925
teacher,5918
meet,5892
may,5861
cold,5861
student,5840
does,5837
place,5832
music,5825
